Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,age_cv,Age,developmental_stage_cv,Developmental_Stage,fertility_phenotype,Genotype,sex,sex_cv,source_name,tissue_cv
SRR7095643,RNA-Seq,51,303723105,PRJNA454717,SAMN09014330,195220946,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024054,GSM3127630,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127630,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095644,RNA-Seq,51,513183777,PRJNA454717,SAMN09014329,330025723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024055,GSM3127631,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127631,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095645,RNA-Seq,51,181161894,PRJNA454717,SAMN09014328,116662318,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024056,GSM3127632,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127632,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] P{SUPor-P}CG14438[KG00226]/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095647,RNA-Seq,51,702322632,PRJNA454717,SAMN09014326,449698147,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024058,GSM3127634,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127634,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095649,RNA-Seq,51,298365963,PRJNA454717,SAMN09014394,188872705,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024060,GSM3127636,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127636,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095651,RNA-Seq,51,595049997,PRJNA454717,SAMN09014392,386688409,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024062,GSM3127638,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127638,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095653,RNA-Seq,51,265454235,PRJNA454717,SAMN09014390,169189210,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024064,GSM3127640,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127640,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070/y[1] cv[1] sov[2] v[1] f[1],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095655,RNA-Seq,51,281821308,PRJNA454717,SAMN09014388,179063782,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024066,GSM3127642,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127642,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095656,RNA-Seq,51,316119369,PRJNA454717,SAMN09014387,200980782,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024067,GSM3127643,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127643,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*] P{w[+mW.hs]=GawB}NP6070/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095658,RNA-Seq,51,244112622,PRJNA454717,SAMN09014302,160561160,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024069,GSM3127645,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127645,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,"Genotype: P{w[+mW.hs]=GawB}C587\, w[*]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2",female,FBcv:0000334,ovary,FBbt:00004865
SRR7095660,RNA-Seq,51,204346698,PRJNA454717,SAMN09014300,134968393,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024071,GSM3127647,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127647,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,"Genotype: P{w[+mW.hs]=GawB}C587\, w[*]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2",female,FBcv:0000334,ovary,FBbt:00004865
SRR7095662,RNA-Seq,51,471108522,PRJNA454717,SAMN09014298,306856855,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024073,GSM3127649,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127649,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,"Genotype: P{w[+mW.hs]=GawB}C587\, w[*]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMC04875}attP40",female,FBcv:0000334,ovary,FBbt:00004865
SRR7095664,RNA-Seq,51,192443298,PRJNA454717,SAMN09014296,123920315,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024075,GSM3127651,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127651,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: w[1118]/y[1] sc[*] v[1]; P{w[+mC]=GAL4::VP16-nos.UTR}CG6325[MVD1]/P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095666,RNA-Seq,51,379183062,PRJNA454717,SAMN09014294,241244105,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024077,GSM3127653,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127653,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: w[1118]/y[1] sc[*] v[1]; P{w[+mC]=GAL4::VP16-nos.UTR}CG6325[MVD1]/P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095668,RNA-Seq,51,263304432,PRJNA454717,SAMN09014292,169247995,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024079,GSM3127655,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127655,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: w[1118]/y[1] sc[*] v[1]; P{y[+t7.7] v[+t1.8]=TRiP.HMC04875}attP40; P{w[+mC]=GAL4::VP16-nos.UTR}CG6325[MVD1],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095670,RNA-Seq,51,367817559,PRJNA454717,SAMN09014290,234813564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024081,GSM3127657,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127657,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] cv[1] sov[2] v[1] f[1]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095672,RNA-Seq,51,337483269,PRJNA454717,SAMN09014288,215668982,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024083,GSM3127659,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127659,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] cv[1] sov[2] v[1] f[1]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095673,RNA-Seq,51,908867277,PRJNA454717,SAMN09014286,577478622,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024084,GSM3127660,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127660,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] cv[1] sov[2] v[1] f[1]/y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095675,RNA-Seq,51,212414031,PRJNA454717,SAMN09014357,136202932,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024086,GSM3127662,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127662,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] cv[1] sov[2] v[1] f[1]/y[*] w[*] P{w[+mW.hs]=GawB}NP6070,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095677,RNA-Seq,51,266577510,PRJNA454717,SAMN09014355,168841266,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024088,GSM3127664,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127664,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[1] cv[1] sov[2] v[1] f[1]/w[1118],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095679,RNA-Seq,51,98979678,PRJNA454717,SAMN09014287,65536475,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024090,GSM3127666,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127666,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: sov[EA42]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095681,RNA-Seq,51,243170295,PRJNA454717,SAMN09014352,156561662,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024092,GSM3127668,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127668,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: sov[EA42]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095682,RNA-Seq,51,266580366,PRJNA454717,SAMN09014351,167636775,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024093,GSM3127669,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127669,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: sov[EA42]/y[1] cv[1] sov[2] v[1] f[1],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095684,RNA-Seq,51,263988087,PRJNA454717,SAMN09014349,166939278,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024095,GSM3127671,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127671,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: sov[EA42]/y[1] cv[1] sov[2] v[1] f[1],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095686,RNA-Seq,51,420620307,PRJNA454717,SAMN09014347,275034834,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024097,GSM3127673,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127673,SRP144383,,,,,,,,,,
SRR7095687,RNA-Seq,51,214250898,PRJNA454717,SAMN09014346,137226001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024098,GSM3127674,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127674,SRP144383,,,,,,,,,,
SRR7095690,RNA-Seq,51,333084468,PRJNA454717,SAMN09014231,209428605,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024101,GSM3127677,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127677,SRP144383,,,,,,,,,,
SRR7095691,RNA-Seq,51,65798568,PRJNA454717,SAMN09014230,42083718,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024102,GSM3127678,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127678,SRP144383,,,,,,,,,,
SRR7095693,RNA-Seq,51,572470818,PRJNA454717,SAMN09014228,358610180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024104,GSM3127680,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127680,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: w[1118] sov[ML150]/y[1] cv[1] sov[2] v[1] f[1],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095697,RNA-Seq,51,258769512,PRJNA454717,SAMN09014322,170030034,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024108,GSM3127684,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127684,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*]/y[1] sc[*] v[1]; P{ww[+mC]=GawB}NP1624; P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095699,RNA-Seq,51,295957437,PRJNA454717,SAMN09014320,187583156,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024110,GSM3127686,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127686,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: y[*] w[*]/y[1] sc[*] v[1]; P{ww[+mC]=GawB}NP1624; P{y[+t7.7] v[+t1.8]=VALIUM20-mCherry}attP2,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095701,RNA-Seq,51,594366291,PRJNA454717,SAMN09014318,379745057,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024112,GSM3127688,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127688,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Sterile,Genotype: y[*] w[*]/y[1] sc[*] v[1]; P{ww[+mC]=GawB}NP1624/P{y[+t7.7] v[+t1.8]=TRiP.HMC04875}attP40,female,FBcv:0000334,ovary,FBbt:00004865
SRR7095703,RNA-Seq,51,205393473,PRJNA454717,SAMN09014317,132495107,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024114,GSM3127690,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127690,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: w[1118]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095705,RNA-Seq,51,216563289,PRJNA454717,SAMN09014315,139129852,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024116,GSM3127692,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127692,SRP144383,FBdv:00007079-FBdv:00007080,4-5 days post-eclosion,FBdv:00005369,Adult,Fertile,Genotype: w[1118]/y[1] P{SUPor-P}CG14438[KG00226],female,FBcv:0000334,ovary,FBbt:00004865
SRR7095707,RNA-Seq,51,315550158,PRJNA454717,SAMN09014313,201398344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4024118,GSM3127694,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2019-01-02T00:00:00Z,GSM3127694,SRP144383,,,,,,,,,,
